order_num :439; Item: 1;Summ :1.000000;Date :2012-12-3 3:24:7
order_num :452; Item: 1200;Summ :8000.000000;Date :2012-12-4 21:13:7
order_num :469; Item: 1564;Summ :4000.000000;Date :2012-12-29 1:9:56
order_num :474; Item: 1603;Summ :4000.000000;Date :2013-1-4 20:43:5
order_num :479; Item: 319;Summ :4000.000000;Date :2013-1-9 2:36:59
order_num :486; Item: 1691;Summ :1400.000000;Date :2013-1-18 13:25:47
order_num :489; Item: 1625;Summ :1400.000000;Date :2013-1-29 23:3:17
order_num :494; Item: 1564;Summ :4000.000000;Date :2013-1-31 22:16:4
order_num :496; Item: 1200;Summ :4000.000000;Date :2013-2-7 23:0:58
order_num :497; Item: 1909;Summ :12900.000000;Date :2013-2-17 6:39:34
order_num :500; Item: 319;Summ :4983.000000;Date :2013-2-21 9:36:35
order_num :505; Item: 166;Summ :12900.000000;Date :2013-3-2 3:18:58
order_num :510; Item: 1009;Summ :1490.000000;Date :2013-3-7 1:31:21
order_num :513; Item: 2064;Summ :4983.000000;Date :2013-3-11 6:53:58
order_num :516; Item: 1200;Summ :4983.000000;Date :2013-3-12 1:55:49
order_num :519; Item: 2231;Summ :1490.000000;Date :2013-3-15 3:59:30
order_num :532; Item: 2304;Summ :4983.000000;Date :2013-3-26 22:20:56
order_num :534; Item: 319;Summ :4983.000000;Date :2013-3-30 2:51:20
order_num :534; Item: 319;Summ :4983.000000;Date :2013-3-30 2:52:18
order_num :534; Item: 319;Summ :4983.000000;Date :2013-3-30 2:53:19
order_num :534; Item: 319;Summ :4983.000000;Date :2013-3-30 2:54:19
order_num :540; Item: 2064;Summ :4983.000000;Date :2013-4-8 21:22:40
order_num :540; Item: 2064;Summ :4983.000000;Date :2013-4-8 21:23:41
order_num :540; Item: 2064;Summ :4983.000000;Date :2013-4-8 21:24:42
order_num :540; Item: 2064;Summ :4983.000000;Date :2013-4-8 21:25:43
order_num :545; Item: 2325;Summ :1490.000000;Date :2013-4-9 22:54:28
order_num :545; Item: 2325;Summ :1490.000000;Date :2013-4-9 22:55:29
order_num :545; Item: 2325;Summ :1490.000000;Date :2013-4-9 22:56:30
order_num :545; Item: 2325;Summ :1490.000000;Date :2013-4-9 22:57:30
order_num :551; Item: 1200;Summ :4983.000000;Date :2013-4-12 3:7:32
order_num :551; Item: 1200;Summ :4983.000000;Date :2013-4-12 3:8:32
order_num :551; Item: 1200;Summ :4983.000000;Date :2013-4-12 3:9:33
order_num :551; Item: 1200;Summ :4983.000000;Date :2013-4-12 3:10:34
order_num :564; Item: 2304;Summ :4983.000000;Date :2013-4-29 19:9:31
order_num :564; Item: 2304;Summ :4983.000000;Date :2013-4-29 19:10:32
order_num :564; Item: 2304;Summ :4983.000000;Date :2013-4-29 19:11:33
order_num :564; Item: 2304;Summ :4983.000000;Date :2013-4-29 19:12:33
order_num :570; Item: 2680;Summ :4983.000000;Date :2013-4-29 21:26:43
order_num :570; Item: 2680;Summ :4983.000000;Date :2013-4-29 21:27:44
order_num :570; Item: 2680;Summ :4983.000000;Date :2013-4-29 21:28:44
order_num :570; Item: 2680;Summ :4983.000000;Date :2013-4-29 21:29:45
order_num :582; Item: 2602;Summ :1490.000000;Date :2013-5-3 10:50:32
order_num :582; Item: 2602;Summ :1490.000000;Date :2013-5-3 10:51:33
order_num :582; Item: 2602;Summ :1490.000000;Date :2013-5-3 10:52:34
order_num :582; Item: 2602;Summ :1490.000000;Date :2013-5-3 10:53:35
order_num :589; Item: 2064;Summ :4983.000000;Date :2013-5-7 0:9:10
order_num :589; Item: 2064;Summ :4983.000000;Date :2013-5-7 0:10:11
order_num :589; Item: 2064;Summ :4983.000000;Date :2013-5-7 0:11:11
order_num :589; Item: 2064;Summ :4983.000000;Date :2013-5-7 0:12:12
order_num :594; Item: 2713;Summ :4983.000000;Date :2013-5-7 1:26:18
order_num :594; Item: 2713;Summ :4983.000000;Date :2013-5-7 1:27:15
order_num :594; Item: 2713;Summ :4983.000000;Date :2013-5-7 1:28:16
order_num :594; Item: 2713;Summ :4983.000000;Date :2013-5-7 1:29:16
