order_num :1;Summ :0.010000;Date :2012-2-16 9:38:10
order_num :2; Item: 0;Summ :0.010000;Date :2012-3-21 10:46:42
order_num :39; Item: 61;Summ :0.010000;Date :2012-3-22 2:25:35
order_num :104; Item: 61;Summ :2.000000;Date :2012-4-14 4:43:33
order_num :186; Item: 61;Summ :2.000000;Date :2012-4-25 5:36:51
order_num :187; Item: 61;Summ :2.000000;Date :2012-4-27 4:25:32
order_num :259; Item: 316;Summ :2.000000;Date :2012-5-15 1:47:58
order_num :282; Item: 319;Summ :7500.000000;Date :2012-5-17 5:14:53
order_num :300; Item: 252;Summ :2.000000;Date :2012-5-24 22:25:26
order_num :301; Item: 324;Summ :1.000000;Date :2012-5-24 22:52:5
order_num :302; Item: 324;Summ :1.000000;Date :2012-5-24 23:23:59
order_num :305; Item: 324;Summ :1.000000;Date :2012-5-24 23:49:47
order_num :307; Item: 324;Summ :1.000000;Date :2012-5-25 0:6:38
order_num :309; Item: 324;Summ :2.000000;Date :2012-5-25 2:6:18
order_num :313; Item: 355;Summ :1.000000;Date :2012-5-25 4:55:0
order_num :340; Item: 0;Summ :1.000000;Date :2012-6-8 2:10:2
order_num :341; Item: 0;Summ :1.000000;Date :2012-6-8 2:26:25
order_num :348; Item: 0;Summ :1.000000;Date :2012-6-8 2:42:1
order_num :349; Item: 0;Summ :1.000000;Date :2012-6-8 2:46:25
order_num :365; Item: 0;Summ :750.000000;Date :2012-6-17 3:1:45
order_num :370; Item: 452;Summ :7500.000000;Date :2012-6-22 5:24:22
order_num :372; Item: 319;Summ :7500.000000;Date :2012-6-26 5:14:52
order_num :376; Item: 421;Summ :7500.000000;Date :2012-8-1 21:5:46
order_num :377; Item: 319;Summ :7500.000000;Date :2012-8-6 21:10:19
order_num :1063; Item: 4460;Summ :1490.000000;Date :2014-10-31 0:3:13
order_num :1064; Item: 4415;Summ :1490.000000;Date :2014-10-31 2:58:27
order_num :1065; Item: 4443;Summ :1490.000000;Date :2014-11-5 23:33:32
order_num :1068; Item: 2064;Summ :4983.000000;Date :2014-11-8 8:5:39
order_num :1070; Item: 630;Summ :4983.000000;Date :2014-11-8 9:41:19
order_num :1072; Item: 4571;Summ :1490.000000;Date :2014-11-12 2:53:56
order_num :1074; Item: 4371;Summ :1490.000000;Date :2014-11-12 16:41:7
order_num :1076; Item: 4036;Summ :1490.000000;Date :2014-11-13 23:1:5
order_num :1078; Item: 4730;Summ :1490.000000;Date :2014-11-17 3:45:23
order_num :1080; Item: 4415;Summ :1490.000000;Date :2014-11-27 21:12:39
order_num :1081; Item: 4443;Summ :1490.000000;Date :2014-11-28 20:48:38
order_num :1083; Item: 3556;Summ :4983.000000;Date :2014-12-1 22:10:1
order_num :1084; Item: 4234;Summ :1490.000000;Date :2014-12-3 2:47:28
order_num :1088; Item: 2064;Summ :4983.000000;Date :2014-12-7 0:55:3
order_num :1091; Item: 4460;Summ :1490.000000;Date :2014-12-9 1:58:3
order_num :1099; Item: 630;Summ :4983.000000;Date :2014-12-15 7:7:52
order_num :1100; Item: 4653;Summ :4983.000000;Date :2014-12-18 8:55:12
order_num :1101; Item: 3740;Summ :1490.000000;Date :2014-12-19 6:22:42
order_num :1104; Item: 4234;Summ :1490.000000;Date :2014-12-25 2:5:24
order_num :1106; Item: 4011;Summ :4983.000000;Date :2014-12-29 23:5:21
order_num :1108; Item: 4415;Summ :1490.000000;Date :2014-12-30 3:28:2
order_num :1111; Item: 4730;Summ :1490.000000;Date :2015-1-3 5:37:57
order_num :1113; Item: 2064;Summ :4983.000000;Date :2015-1-9 7:36:44
order_num :1124; Item: 3556;Summ :4983.000000;Date :2015-1-20 21:58:24
order_num :1125; Item: 630;Summ :4983.000000;Date :2015-1-21 3:16:7
order_num :1127; Item: 1187;Summ :1.000000;Date :2015-1-21 21:31:3
order_num :1132; Item: 1187;Summ :1.000000;Date :2015-1-22 0:6:49
order_num :1134; Item: 1187;Summ :1.000000;Date :2015-1-22 0:10:25
order_num :1136; Item: 1187;Summ :1.000000;Date :2015-1-22 0:13:1
order_num :1138; Item: 1187;Summ :1.000000;Date :2015-1-22 0:25:30
order_num :1139; Item: 4288;Summ :1490.000000;Date :2015-1-22 1:14:29
order_num :1141; Item: 1187;Summ :1.000000;Date :2015-1-22 1:56:55
